term	Df	SumOfSqs	F	parOmegaSq	Pr(>F)	R2	test_var	ref_level	test_level	n	dataset
age_invitation	2	0.2367597077191732	2.2000342369774684	0.00273543228476073	0.006	0.00498996542791794	Blindtarm	No	Unknown	875	ko_hum
senter	1	0.21745259640581335	4.041254836991768	0.00346368102892429	0.002	0.00458304729605024	Blindtarm	No	Unknown	875	ko_hum
Total_Reads_QC_ATLAS	1	0.0919269720675544	1.708419796582754	8.089676661408736e-4	0.088	0.00193745978540557	Blindtarm	No	Unknown	875	ko_hum
Bowel_disorder_merged	1	0.12822281789959078	2.4176850014051197	0.00155206651314501	0.014	0.00262831841560084	Bowel_disorder_merged	No bowel disease	IBS	912	ko_hum
kjonn	1	0.0926346968389069	1.7466588305095287	8.180351286809562e-4	0.06	0.00189883114108411	Bowel_disorder_merged	No bowel disease	IBS	912	ko_hum
age_invitation	2	0.20593423024778448	1.9414801043284744	0.0020603953576583	0.027	0.00422125124552081	Bowel_disorder_merged	No bowel disease	IBS	912	ko_hum
senter	1	0.2191474022995834	4.132099078118042	0.00342256498408616	0.002	0.00449209557729521	Bowel_disorder_merged	No bowel disease	IBS	912	ko_hum
Total_Reads_QC_ATLAS	1	0.1045583727351982	1.971483809778458	0.00106408998200525	0.049	0.00214324330931784	Bowel_disorder_merged	No bowel disease	IBS	912	ko_hum
Bowel_disorder_merged	1	0.06085297262959699	1.1368600123539505	1.5746658397620494e-4	0.28	0.00130068656387365	Bowel_disorder_merged	No bowel disease	Celiac disease	869	ko_hum
kjonn	1	0.07494683961320447	1.4001627418792122	4.6027451917790666e-4	0.154	0.00160193238024786	Bowel_disorder_merged	No bowel disease	Celiac disease	869	ko_hum
age_invitation	2	0.17170006323997455	1.603857030981202	0.00138784573205519	0.059	0.00366995983305294	Bowel_disorder_merged	No bowel disease	Celiac disease	869	ko_hum
senter	1	0.2140960380283019	3.999758991550173	0.00344009153743268	0.003	0.00457614193700957	Bowel_disorder_merged	No bowel disease	Celiac disease	869	ko_hum
Total_Reads_QC_ATLAS	1	0.1094612910743109	2.04496443387378	0.0012010464706887	0.053	0.00233965284541206	Bowel_disorder_merged	No bowel disease	Celiac disease	869	ko_hum
Bowel_disorder_merged	1	0.07212730088115649	1.349505978788625	3.979121937333511e-4	0.208	0.00152756283492433	Bowel_disorder_merged	No bowel disease	IBD	878	ko_hum
kjonn	1	0.07484778090610433	1.4004063176893045	4.558357610145394e-4	0.151	0.0015851790790995	Bowel_disorder_merged	No bowel disease	IBD	878	ko_hum
age_invitation	2	0.19597916797138737	1.83339079422354	0.00189478746194929	0.024	0.00415058500394678	Bowel_disorder_merged	No bowel disease	IBD	878	ko_hum
senter	1	0.1889486118559418	3.535239476152657	0.00287920274225585	0.002	0.00400168692929818	Bowel_disorder_merged	No bowel disease	IBD	878	ko_hum
Total_Reads_QC_ATLAS	1	0.1063368236755835	1.9895681324889587	0.00112580190751456	0.051	0.00225207622975339	Bowel_disorder_merged	No bowel disease	IBD	878	ko_hum
Bowel_disorder_merged	1	0.04570992428532605	0.8552543519133985	-1.5787186406966298e-4	0.544	9.273064737035396e-4	Bowel_disorder_merged	No bowel disease	Other	917	ko_hum
kjonn	1	0.0931672058395776	1.7432025866533714	8.098154086662366e-4	0.078	0.00189006117298788	Bowel_disorder_merged	No bowel disease	Other	917	ko_hum
age_invitation	2	0.1645132500008657	1.5390604470529112	0.00117432369813568	0.078	0.00333744157578456	Bowel_disorder_merged	No bowel disease	Other	917	ko_hum
senter	1	0.21515358394010065	4.025625547877085	0.00328863182052708	0.003	0.00436477010950161	Bowel_disorder_merged	No bowel disease	Other	917	ko_hum
Total_Reads_QC_ATLAS	1	0.10453547402811836	1.9559082735251687	0.00104134443158933	0.05	0.0021206865535995	Bowel_disorder_merged	No bowel disease	Other	917	ko_hum
Bowel_disorder_merged	1	0.09279839110189414	1.7386883208497372	8.473735658934729e-4	0.079	0.00198272713069057	Bowel_disorder_merged	No bowel disease	Missing	871	ko_hum
kjonn	1	0.08693454871983164	1.6288222537344026	7.214335250049247e-4	0.112	0.00185744048247441	Bowel_disorder_merged	No bowel disease	Missing	871	ko_hum
age_invitation	2	0.15588064333096696	1.4603047034969752	0.00105584086103902	0.102	0.00333054029290708	Bowel_disorder_merged	No bowel disease	Missing	871	ko_hum
senter	1	0.20653647262385277	3.869706667503469	0.00328390679480935	0.003	0.00441285094370656	Bowel_disorder_merged	No bowel disease	Missing	871	ko_hum
Total_Reads_QC_ATLAS	1	0.11004401240724349	2.061805564514927	0.00121758063217501	0.043	0.00235119646342056	Bowel_disorder_merged	No bowel disease	Missing	871	ko_hum
PPI_antacids_reg_quest_comb	1	0.8261780064780737	2.8306582156573854	0.00176733349330566	0.001	0.00271989967503038	PPI_antacids_reg_quest_comb	No	Yes	1034	mags
kjonn	1	0.7484977653753049	2.564509503215674	0.00151077937574956	0.001	0.00246416488074267	PPI_antacids_reg_quest_comb	No	Yes	1034	mags
age_invitation	1	0.7467273127577414	2.558443563178487	0.00150493057428622	0.001	0.00245833628997723	PPI_antacids_reg_quest_comb	No	Yes	1034	mags
senter	1	0.7266897991507903	2.4897908611359187	0.0014387306125896	0.001	0.00239236984410161	PPI_antacids_reg_quest_comb	No	Yes	1034	mags
Total_Reads_QC_ATLAS	1	0.5533334672524575	1.8958359007320345	8.656290514033566e-4	0.002	0.0018216552679478	PPI_antacids_reg_quest_comb	No	Yes	1034	mags
antibiotics_reg_quest_comb	1	0.4868964399692573	1.6663245257551105	6.439994324358857e-4	0.008	0.00160293478943025	antibiotics_reg_quest_comb	No	Yes	1034	mags
kjonn	1	0.768782905743933	2.6310354844723864	0.00157491947285007	0.001	0.00253094655038766	antibiotics_reg_quest_comb	No	Yes	1034	mags
age_invitation	1	0.7577274091269715	2.5931998306351782	0.00153844176544973	0.001	0.00249455022729507	antibiotics_reg_quest_comb	No	Yes	1034	mags
senter	1	0.7836042037189372	2.681758986005553	0.00162381829303636	0.001	0.00257974044616999	antibiotics_reg_quest_comb	No	Yes	1034	mags
Total_Reads_QC_ATLAS	1	0.5523707200259764	1.8903996877578528	8.603806625576001e-4	0.002	0.0018184857622869	antibiotics_reg_quest_comb	No	Yes	1034	mags
PPI_antacids_reg_quest_comb	1	0.7618684872821859	2.5520076815410953	0.00149872499886879	0.001	0.00245355419312299	PPI_antacids_reg_quest_comb	No	Yes	1034	metaphlan
kjonn	1	0.7677103441258737	2.571575971591702	0.00151759280387473	0.001	0.00247236756130099	PPI_antacids_reg_quest_comb	No	Yes	1034	metaphlan
age_invitation	1	0.7045099733264806	2.359875613263903	0.00131343279307441	0.001	0.00226883435659404	PPI_antacids_reg_quest_comb	No	Yes	1034	metaphlan
senter	1	0.72737268189411	2.4364581322411123	0.00138729723196365	0.001	0.0023424624110531	PPI_antacids_reg_quest_comb	No	Yes	1034	metaphlan
Total_Reads_QC_ATLAS	1	0.5507835876341005	1.844943018345856	8.164923876241785e-4	0.001	0.00177376726233124	PPI_antacids_reg_quest_comb	No	Yes	1034	metaphlan
antibiotics_reg_quest_comb	1	0.5504937335822433	1.8427029403640125	8.143294995167742e-4	0.001	0.00177283380381944	antibiotics_reg_quest_comb	No	Yes	1034	metaphlan
kjonn	1	0.7817265832652538	2.6167234714369156	0.00156112144077548	0.001	0.00251750606339984	antibiotics_reg_quest_comb	No	Yes	1034	metaphlan
age_invitation	1	0.7157637882290828	2.3959219818780495	0.00134820115884373	0.001	0.00230507662832969	antibiotics_reg_quest_comb	No	Yes	1034	metaphlan
senter	1	0.7848261598587669	2.627098882734666	0.00157112428256273	0.001	0.00252748807377942	antibiotics_reg_quest_comb	No	Yes	1034	metaphlan
Total_Reads_QC_ATLAS	1	0.5479483534645624	1.8341826264329657	8.061026978407217e-4	0.001	0.00176463655171481	antibiotics_reg_quest_comb	No	Yes	1034	metaphlan
PPI_antacids_reg_quest_comb	1	0.3512468762875329	6.619468821007655	0.00540531318385224	0.001	0.00631940258545242	PPI_antacids_reg_quest_comb	No	Yes	1034	ko_hum
kjonn	1	0.09489436772779668	1.7883441843029442	7.618409974692705e-4	0.079	0.00170727699873695	PPI_antacids_reg_quest_comb	No	Yes	1034	ko_hum
age_invitation	1	0.20751315036008575	3.9107161415243494	0.00280710392535578	0.002	0.00373344000311455	PPI_antacids_reg_quest_comb	No	Yes	1034	ko_hum
senter	1	0.22567332680204544	4.252956115334521	0.00313612614565816	0.003	0.00406016594349173	PPI_antacids_reg_quest_comb	No	Yes	1034	ko_hum
Total_Reads_QC_ATLAS	1	0.09841006997753964	1.8545998096115357	8.258163125223211e-4	0.053	0.00177052919935872	PPI_antacids_reg_quest_comb	No	Yes	1034	ko_hum
antibiotics_reg_quest_comb	1	0.31468747433916633	5.926511783150911	0.00474192517687833	0.001	0.0056616498912876	antibiotics_reg_quest_comb	No	Yes	1034	ko_hum
kjonn	1	0.10060654301042148	1.8947238490042833	8.645554261563976e-4	0.062	0.00181004669631009	antibiotics_reg_quest_comb	No	Yes	1034	ko_hum
age_invitation	1	0.2217090516877036	4.175448387380739	0.0030616308863828	0.001	0.00398884331516888	antibiotics_reg_quest_comb	No	Yes	1034	ko_hum
senter	1	0.258142861927837	4.861606634214907	0.00372073367926008	0.001	0.00464433644599151	antibiotics_reg_quest_comb	No	Yes	1034	ko_hum
Total_Reads_QC_ATLAS	1	0.0986491279151238	1.8578598344731676	8.289639261283509e-4	0.051	0.00177483017240881	antibiotics_reg_quest_comb	No	Yes	1034	ko_hum
Fiber_resid	1	0.27034962448149713	0.934936678327839	-1.0328578061607846e-4	0.604	0.00148107255164512	Fiber_resid	low	mid	630	mags
kjonn	1	0.5297559222901498	1.8320285935679237	0.00131893841126443	0.002	0.00290219362087216	Fiber_resid	low	mid	630	mags
age_invitation	2	0.7367209456876083	1.273882727110756	8.687136553833055e-4	0.027	0.00403602251333858	Fiber_resid	low	mid	630	mags
senter	1	0.4289731991107999	1.4834967077816927	7.668665560738463e-4	0.015	0.00235006958790093	Fiber_resid	low	mid	630	mags
Total_Reads_QC_ATLAS	1	0.3991130496650612	1.3802328360795797	6.031801383887195e-4	0.037	0.00218648494147531	Fiber_resid	low	mid	630	mags
Fiber_resid	1	0.6839063419587603	2.3328732359342643	0.00211120518578819	0.001	0.00367857691069697	Fiber_resid	low	high	630	mags
kjonn	1	0.5381456855322426	1.835668994114063	0.00132470155888071	0.002	0.00289456343937438	Fiber_resid	low	high	630	mags
age_invitation	2	1.0286067704563775	1.754340512639346	0.00238901074618529	0.001	0.0055326422403838	Fiber_resid	low	high	630	mags
senter	1	0.4820951064728547	1.6444748382421344	0.00102193052338631	0.009	0.00259308010268163	Fiber_resid	low	high	630	mags
Total_Reads_QC_ATLAS	1	0.4314789331271527	1.4718179861863336	7.483569807979446e-4	0.017	0.00232082720026804	Fiber_resid	low	high	630	mags
Fiber_resid	1	0.28646421403271916	0.9688657297369409	-4.942191901340108e-5	0.54	0.00153484097207296	Fiber_resid	low	mid	630	metaphlan
kjonn	1	0.5510510895632024	1.8637389588600008	0.00136913711395976	0.002	0.00295246578293527	Fiber_resid	low	mid	630	metaphlan
age_invitation	2	0.7324030876741574	1.238549559143123	7.567271181672783e-4	0.048	0.00392412808291177	Fiber_resid	low	mid	630	metaphlan
senter	1	0.4314609183336984	1.4592667321671229	7.284637666563624e-4	0.025	0.00231171595915694	Fiber_resid	low	mid	630	metaphlan
Total_Reads_QC_ATLAS	1	0.41078138860274294	1.3893254037849658	6.175951718972876e-4	0.035	0.00220091751397786	Fiber_resid	low	mid	630	metaphlan
Fiber_resid	1	0.7232672581660893	2.414224537897266	0.00223977300944126	0.001	0.00380835243459223	Fiber_resid	low	high	630	metaphlan
kjonn	1	0.5448015113910287	1.818516132499534	0.00129754614293472	0.002	0.00286864383649329	Fiber_resid	low	high	630	metaphlan
age_invitation	2	0.9884398531086448	1.649677709496475	0.00205822389622205	0.001	0.00520461458545642	Fiber_resid	low	high	630	metaphlan
senter	1	0.49811196444949246	1.6626691082952687	0.00105075048953226	0.001	0.00262280075738632	Fiber_resid	low	high	630	metaphlan
Total_Reads_QC_ATLAS	1	0.4166304756890895	1.3906885819701131	6.197562702725607e-4	0.03	0.00219376125284452	Fiber_resid	low	high	630	metaphlan
Fiber_resid	1	0.04453483262217617	0.854886216048288	-2.303924080410105e-4	0.523	0.00135491804721717	Fiber_resid	low	mid	630	ko_hum
kjonn	1	0.06094691472242886	1.1699309111342728	2.696588694553822e-4	0.238	0.0018542356581914	Fiber_resid	low	mid	630	ko_hum
age_invitation	2	0.1240217432670363	1.190354522141775	6.039351122605589e-4	0.233	0.00377321050301123	Fiber_resid	low	mid	630	ko_hum
senter	1	0.126287722579022	2.424206557704147	0.00225554633939108	0.015	0.00384215016402842	Fiber_resid	low	mid	630	ko_hum
Total_Reads_QC_ATLAS	1	0.05842000280014048	1.121424561287642	1.9270025832272264e-4	0.313	0.00177735744027413	Fiber_resid	low	mid	630	ko_hum
Fiber_resid	1	0.0891342538735529	1.6334169483285033	0.00100441386597247	0.087	0.00257159357063315	Fiber_resid	low	high	630	ko_hum
kjonn	1	0.06581412685331145	1.2060673149757295	3.269840226288043e-4	0.231	0.00189878950142901	Fiber_resid	low	high	630	ko_hum
age_invitation	2	0.26679950024561094	2.4445979327149594	0.00456508956750186	0.005	0.00769737614512443	Fiber_resid	low	high	630	ko_hum
senter	1	0.1505936291497747	2.7596818896637996	0.00278536592332134	0.016	0.00434474505221364	Fiber_resid	low	high	630	ko_hum
Total_Reads_QC_ATLAS	1	0.06730293776919893	1.2333503052649284	3.702601665746518e-4	0.221	0.00194174287134913	Fiber_resid	low	high	630	ko_hum
colo_diverticulitis	1	0.5543296845480654	1.8973083332907863	8.670506011228376e-4	0.001	0.001824934962005666	colo_diverticulitis	No	Yes	1034	mags
kjonn	1	0.7914278332184495	2.7088259298035733	0.0016499095952662965	0.001	0.00260549698672957	colo_diverticulitis	No	Yes	1034	mags
age_invitation	2	0.9758798439505085	1.6700755992594387	0.0012944066710515443	0.001	0.003212740171751518	colo_diverticulitis	No	Yes	1034	mags
senter	1	0.741927562775345	2.5394009860746105	0.0014865692069357694	0.001	0.00244253480613842	colo_diverticulitis	No	Yes	1034	mags
Total_Reads_QC_ATLAS	1	0.5447866013298608	1.8646451513975981	8.355152100795783e-4	0.001	0.0017935177265667416	colo_diverticulitis	No	Yes	1034	mags
colo_hemorrhoids	1	0.3070435716474549	1.0500549274287703	4.8406677404299494e-5	0.345	0.001010832658574585	colo_hemorrhoids	No	Yes	1034	mags
kjonn	1	0.7726464449360151	2.6423650634084517	0.0015858419072185175	0.001	0.0025436658904216722	colo_hemorrhoids	No	Yes	1034	mags
age_invitation	2	0.9960632057949397	1.7032127910438593	0.001358331904592006	0.001	0.003279186771505134	colo_hemorrhoids	No	Yes	1034	mags
senter	1	0.7645950780511725	2.6148302825152925	0.0015592962125453218	0.001	0.0025171596048489215	colo_hemorrhoids	No	Yes	1034	mags
Total_Reads_QC_ATLAS	1	0.5515855784672112	1.8863614419948556	8.564819046989981e-4	0.003	0.001815900960641503	colo_hemorrhoids	No	Yes	1034	mags
colo_IBD	1	0.16344647250218713	0.5587016329504957	-4.2696981444042203e-4	1	5.380898595191062e-4	colo_IBD	No	Yes	1034	mags
kjonn	1	0.7817486188052385	2.672215699714393	0.0016146186740991417	0.001	0.002573631587347578	colo_IBD	No	Yes	1034	mags
age_invitation	2	0.998890312097501	1.7072306301986302	0.0013660821954094152	0.002	0.0032884940218232492	colo_IBD	No	Yes	1034	mags
senter	1	0.7747992481679944	2.6484609825671352	0.001591718661951339	0.001	0.002550753235721538	colo_IBD	No	Yes	1034	mags
Total_Reads_QC_ATLAS	1	0.5480324097895277	1.8733142268035619	8.43885154634653e-4	0.001	0.001804203406051594	colo_IBD	No	Yes	1034	mags
colo_diverticulitis	1	0.577436828305224	1.932890753101833	9.014021695870398e-4	0.001	0.0018596025101470966	colo_diverticulitis	No	Yes	1034	metaphlan
kjonn	1	0.8053854939350913	2.695917713593826	0.0016374668322896746	0.001	0.0025936982415089324	colo_diverticulitis	No	Yes	1034	metaphlan
age_invitation	2	0.9533401357735443	1.5955878138270616	0.001150681782939169	0.001	0.0030701777624951984	colo_diverticulitis	No	Yes	1034	metaphlan
senter	1	0.7456094615442339	2.495825626283574	0.00144455012687171	0.001	0.0024011929241620532	colo_diverticulitis	No	Yes	1034	metaphlan
Total_Reads_QC_ATLAS	1	0.5397487297763632	1.8067350013770398	7.795996818439399e-4	0.004	0.0017382301293229646	colo_diverticulitis	No	Yes	1034	metaphlan
colo_hemorrhoids	1	0.30649661162044595	1.0250502459178892	2.4225956529710276e-5	0.402	9.870549303095163e-4	colo_hemorrhoids	No	Yes	1034	metaphlan
kjonn	1	0.7870788248858958	2.6323140694460796	0.0015761521220132785	0.001	0.002534742653559628	colo_hemorrhoids	No	Yes	1034	metaphlan
age_invitation	2	0.9689124345911182	1.6202200802474915	0.0011982145522664044	0.001	0.0031203274664115795	colo_hemorrhoids	No	Yes	1034	metaphlan
senter	1	0.7672508665542068	2.5660012529470944	0.0015122177157731766	0.001	0.0024708878398773757	colo_hemorrhoids	No	Yes	1034	metaphlan
Total_Reads_QC_ATLAS	1	0.5470934287451428	1.8297045788217114	8.017788580580061e-4	0.001	0.001761883315211201	colo_hemorrhoids	No	Yes	1034	metaphlan
colo_IBD	1	0.2025857385198151	0.6773005245205145	-3.121858971999653e-4	0.983	6.524158650863164e-4	colo_IBD	No	Yes	1034	metaphlan
kjonn	1	0.7967679793945308	2.6638171783858438	0.0016065224552488763	0.001	0.002565946025361083	colo_IBD	No	Yes	1034	metaphlan
age_invitation	2	0.9721663992888239	1.6251114638435835	0.0012076528939559531	0.001	0.0031308066749122622	colo_IBD	No	Yes	1034	metaphlan
senter	1	0.7786257090096456	2.60316251761132	0.00154804714357374	0.001	0.0025075198739732	colo_IBD	No	Yes	1034	metaphlan
Total_Reads_QC_ATLAS	1	0.5429607050287473	1.815268799259673	7.878399399785281e-4	0.001	0.0017485741131997713	colo_IBD	No	Yes	1034	metaphlan
colo_diverticulitis	1	0.12746993575395038	2.3916725782314563	0.0013441025411823613	0.021	0.0022933551753825505	colo_diverticulitis	No	Yes	1034	ko_hum
kjonn	1	0.10851318266873733	2.0359938351769116	0.0010009254183887708	0.036	0.0019522977523966354	colo_diverticulitis	No	Yes	1034	ko_hum
age_invitation	2	0.23258375530274833	2.1819426926417007	0.002280941490357504	0.008	0.00418449382419914	colo_diverticulitis	No	Yes	1034	ko_hum
senter	1	0.2546348774958247	4.777622663461777	0.003640108035637239	0.002	0.004581223099266007	colo_diverticulitis	No	Yes	1034	ko_hum
Total_Reads_QC_ATLAS	1	0.09917869751559749	1.8608542460602573	8.318550677882447e-4	0.055	0.0017843578400646297	colo_diverticulitis	No	Yes	1034	ko_hum
colo_hemorrhoids	1	0.040693866026757064	0.7623158457482906	-2.2992147286511762e-4	0.616	7.321372502997848e-4	colo_hemorrhoids	No	Yes	1034	ko_hum
kjonn	1	0.10843860629434943	2.03137415881522	9.964665657149114e-4	0.036	0.001950956023359493	colo_hemorrhoids	No	Yes	1034	ko_hum
age_invitation	2	0.24257189676143298	2.272042677302673	0.0024543918493683805	0.005	0.004364193890502952	colo_hemorrhoids	No	Yes	1034	ko_hum
senter	1	0.26764850102034643	5.013843936194999	0.003866850099970077	0.002	0.004815355647336402	colo_hemorrhoids	No	Yes	1034	ko_hum
Total_Reads_QC_ATLAS	1	0.1004257906279662	1.8812705449799616	8.515668126024493e-4	0.054	0.0018067947184275033	colo_hemorrhoids	No	Yes	1034	ko_hum
colo_IBD	1	0.06101974857917014	1.143503389146747	1.387654505167324e-4	0.277	0.0010978271494127198	colo_IBD	No	Yes	1034	ko_hum
kjonn	1	0.10742192583582977	2.01307509654135	9.788041532198565e-4	0.048	0.0019326645777926184	colo_IBD	No	Yes	1034	ko_hum
age_invitation	2	0.24059959380550566	2.254404986501733	0.0024204424978006784	0.007	0.004328709514013353	colo_IBD	No	Yes	1034	ko_hum
senter	1	0.2509961596292669	4.70364047512416	0.00356907341428272	0.001	0.004515757682643102	colo_IBD	No	Yes	1034	ko_hum
Total_Reads_QC_ATLAS	1	0.10089406511220744	1.8907437032604506	8.607127937708738e-4	0.053	0.0018152196047003513	colo_IBD	No	Yes	1034	ko_hum
