term	estimate	std.error	statistic	p.value	conf.low	conf.high	index	dataset	site_coding
distal_acn	10.6788169389389	11.58456705276721	0.9218140730074195	0.3568685521772058	-12.05659103738274	33.41422491526054	invsimpson	ko_hum	lesion_loc_overall
proximal_acn	-4.448882456610042	13.079185438724856	-0.34014981112186	0.7338217825691358	-30.11756870037815	21.219803787158064	invsimpson	ko_hum	lesion_loc_overall
distal_acn	1.8353409359598665	0.9730851566009656	1.8861051610023554	0.059597285311852835	-0.07439707412322405	3.745078946042957	invsimpson	mags	lesion_loc_overall
proximal_acn	-0.13611913907458206	1.0986307173054435	-0.12389890154212568	0.9014225339808924	-2.29224784543756	2.020009567288396	invsimpson	mags	lesion_loc_overall
distal_acn	2.0596099314283576	0.926552201188659	2.222875223636744	0.026467898108512543	0.24119563856524406	3.878024224291471	invsimpson	metaphlan	lesion_loc_overall
proximal_acn	-0.19513772840141894	1.0460941701839785	-0.18653935177470657	0.8520631713729924	-2.248160308567956	1.857884851765118	invsimpson	metaphlan	lesion_loc_overall
distal_acn	-20.460026062121244	38.73944242244703	-0.5281445674671345	0.5975270603847669	-96.48850638751831	55.568454263275825	observed	ko_hum	lesion_loc_overall
proximal_acn	-77.63653529804724	43.73753019237419	-1.7750553119157029	0.07622113787637404	-163.47406278361538	8.20099218752091	observed	ko_hum	lesion_loc_overall
distal_acn	11.521396999167797	3.5617210914442587	3.2347836069600646	0.0012609947184739866	4.531305635113604	18.51148836322199	observed	mags	lesion_loc_overall
proximal_acn	1.4532224446135709	4.021247442725045	0.3613859791798283	0.7178943561851375	-6.438716957839567	9.34516184706671	observed	mags	lesion_loc_overall
distal_acn	16.35415110967052	4.666491238490297	3.504592695852016	4.794835363964613e-4	7.195882039989193	25.51242017935185	observed	metaphlan	lesion_loc_overall
proximal_acn	2.5737986993759683	5.268552892688399	0.48852099462602694	0.6252979152694469	-7.766052493551239	12.913649892303177	observed	metaphlan	lesion_loc_overall
distal_acn	0.01669446751802146	0.013677482370537857	1.220580444978849	0.22255936689870728	-0.010148412355408518	0.04353734739145144	shannon	ko_hum	lesion_loc_overall
proximal_acn	-0.017837885855144113	0.015442124633947635	-1.1551445334102335	0.2483328108275499	-0.048143982058380524	0.012468210348092295	shannon	ko_hum	lesion_loc_overall
distal_acn	0.08924304742381864	0.028544742307994683	3.1264268025577464	0.001825317548256297	0.03322227780893633	0.14526381703870095	shannon	mags	lesion_loc_overall
proximal_acn	0.01639140268762138	0.03222752963026763	0.5086149287789906	0.6111447707032316	-0.046857058033930296	0.07963986340917305	shannon	mags	lesion_loc_overall
distal_acn	0.095850114985446	0.02858404914579532	3.353272816477278	8.313919413490068e-4	0.039752203342761874	0.15194802662813012	shannon	metaphlan	lesion_loc_overall
proximal_acn	0.00653463322146691	0.03227190776009006	0.20248673459423253	0.8395812413280707	-0.056800922242783686	0.06987018868571751	shannon	metaphlan	lesion_loc_overall
sum_lesion_diameter_distal	0.5170398667535883	0.4614435426715111	1.1204834805146566	0.2631361172202538	-0.38993762117939046	1.4240173546865669	invsimpson	ko_hum	lesion_loc_size_distal
sum_lesion_diameter_distal	0.06505831451151674	0.0401707872613154	1.6195429302469286	0.10606705813048928	-0.013898256226529751	0.14401488524956324	invsimpson	mags	lesion_loc_size_distal
sum_lesion_diameter_distal	0.06381967785272989	0.03838997176731663	1.6624049176056672	0.09716374695952162	-0.011636660649172986	0.13927601635463277	invsimpson	metaphlan	lesion_loc_size_distal
sum_lesion_diameter_distal	1.098293431790556	1.558858123046304	0.7045499622789806	0.48147353327549236	-1.9656766831644064	4.1622635467455185	observed	ko_hum	lesion_loc_size_distal
sum_lesion_diameter_distal	0.2074998781209948	0.14171920951385344	1.464161977990084	0.14388377455934392	-0.07105236229517159	0.4860521185371612	observed	mags	lesion_loc_size_distal
sum_lesion_diameter_distal	0.3820822754878346	0.18335752811184175	2.083810135435386	0.03777010297538474	0.02168899903697319	0.742475551938696	observed	metaphlan	lesion_loc_size_distal
sum_lesion_diameter_distal	6.507335129948481e-4	5.4296341438509e-4	1.1984850097714383	0.23139144129972955	-4.1647308560104415e-4	0.0017179401115907404	shannon	ko_hum	lesion_loc_size_distal
sum_lesion_diameter_distal	0.002212701080059986	0.0011384254581409802	1.9436503850443319	0.05259270879673229	-2.4899334165949787e-5	0.0044503014942859215	shannon	mags	lesion_loc_size_distal
sum_lesion_diameter_distal	0.0024734905640540856	0.001132177139120266	2.1847204634215265	0.02945110745774999	2.4817135904477887e-4	0.004698809769063393	shannon	metaphlan	lesion_loc_size_distal
sum_lesion_diameter_proximal	0.03181939395112233	0.3788090035486058	0.08399851548681449	0.9330974439620567	-0.7127680999908232	0.7764068878930679	invsimpson	ko_hum	lesion_loc_size_proximal
sum_lesion_diameter_proximal	-0.021789866531357643	0.031836040520152306	-0.6844402185493071	0.4940729329377729	-0.08436683119131413	0.04078709812859885	invsimpson	mags	lesion_loc_size_proximal
sum_lesion_diameter_proximal	-0.019790471917417188	0.03030900661554909	-0.6529567982364788	0.514139689502443	-0.07936589665213006	0.03978495281729568	invsimpson	metaphlan	lesion_loc_size_proximal
sum_lesion_diameter_proximal	-0.22321983417648406	1.2305585833466306	-0.1813971615795932	0.8561429392357269	-2.6420074636665296	2.1955677953135613	observed	ko_hum	lesion_loc_size_proximal
sum_lesion_diameter_proximal	-0.11638609839718905	0.11455897526117405	-1.0159491923862751	0.3102356939241174	-0.34156337639008133	0.10879117959570322	observed	mags	lesion_loc_size_proximal
