term	Df	SumOfSqs	F	parOmegaSq	Pr(>F)	R2	n	site_coding
distal_acn	1	0.6431200202423497	2.161369112195904	0.0012458884809847992	0.001	0.002293929284600314	931	lesion_loc_overall
proximal_acn	1	0.358643207041041	1.2053121122015138	2.2047996240036002e-4	0.104	0.0012792358027423794	931	lesion_loc_overall
sum_lesion_diameter_distal	1	0.284491309251905	0.9733706540766891	-6.025101893334003e-5	0.494	0.0021750580845611013	442	lesion_loc_size_distal
sum_lesion_diameter_proximal	1	0.3329632243426488	1.1462461748713606	3.3531453303560873e-4	0.188	0.0025988563591980937	436	lesion_loc_size_proximal
most_serious_distancefromanus_processed	1	0.3169356763038138	1.0941569073888233	3.873269048778249e-4	0.269	0.00446400612377456	243	lesion_dist_distal
most_serious_distancefromanus_processed	1	0.2909402642191381	1.0097359741350924	6.533783897706118e-5	0.454	0.006725638509403016	149	lesion_dist_proximal
