primary_model	add_var	no_m	secondary_alg	predictor	sensitivities	specificities	thresholds	var_cat
rf_mphl	fit	FALSE	log_reg	primary_pred	0.75	0.3111111111111111	0.5191841269841271	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.75	0.32222222222222224	0.5210934523809525	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.75	0.3333333333333333	0.5217408730158732	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.75	0.34444444444444444	0.5227771825396827	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.75	0.35555555555555557	0.523684126984127	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.7413793103448276	0.35555555555555557	0.5252533730158728	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.7327586206896551	0.35555555555555557	0.5280966269841268	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.7241379310344828	0.35555555555555557	0.5298714285714285	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.7155172413793104	0.35555555555555557	0.5302386904761903	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.7155172413793104	0.36666666666666664	0.5312960317460316	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.7068965517241379	0.36666666666666664	0.5322156746031744	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.7068965517241379	0.37777777777777777	0.5343833333333332	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.6982758620689655	0.37777777777777777	0.5369791666666666	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.6896551724137931	0.37777777777777777	0.5379942460317458	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.6810344827586207	0.37777777777777777	0.5387563492063492	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.6810344827586207	0.3888888888888889	0.5396025793650794	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.6810344827586207	0.4	0.5401759920634921	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.6810344827586207	0.4111111111111111	0.5404837301587302	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.6724137931034483	0.4111111111111111	0.5417069444444444	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.6724137931034483	0.4222222222222222	0.5434450396825398	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.6637931034482759	0.4222222222222222	0.5444329365079368	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.6637931034482759	0.43333333333333335	0.5446732142857145	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.6637931034482759	0.4444444444444444	0.5462228174603173	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.6637931034482759	0.45555555555555555	0.5478910714285714	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.6551724137931034	0.45555555555555555	0.5488436507936508	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.646551724137931	0.45555555555555555	0.550156746031746	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.6379310344827587	0.45555555555555555	0.5508365079365078	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.6293103448275862	0.45555555555555555	0.5510488095238095	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.6206896551724138	0.45555555555555555	0.551126388888889	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.6120689655172413	0.45555555555555555	0.5517549603174603	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.603448275862069	0.45555555555555555	0.5529367063492061	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.603448275862069	0.4666666666666667	0.5537882936507935	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.5948275862068966	0.4666666666666667	0.5546922619047617	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.5948275862068966	0.4777777777777778	0.5560005952380951	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.5862068965517241	0.4777777777777778	0.5568009920634922	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.5775862068965517	0.4777777777777778	0.5580988095238095	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.5775862068965517	0.4888888888888889	0.5597886904761904	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.5775862068965517	0.5	0.5605660714285715	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.5775862068965517	0.5111111111111111	0.5610934523809523	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.5775862068965517	0.5222222222222223	0.5614912698412696	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.5775862068965517	0.5333333333333333	0.5618896825396824	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.5689655172413793	0.5333333333333333	0.5623640873015873	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.5603448275862069	0.5333333333333333	0.5629656746031748	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.5517241379310345	0.5333333333333333	0.5635702380952382	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.5517241379310345	0.5444444444444444	0.5642087301587303	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.5431034482758621	0.5444444444444444	0.564816865079365	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.5431034482758621	0.5555555555555556	0.5656954365079362	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.5344827586206896	0.5555555555555556	0.5667996031746031	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.5258620689655172	0.5555555555555556	0.5672734126984127	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.5258620689655172	0.5666666666666667	0.5674325396825395	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.5258620689655172	0.5777777777777777	0.5677422619047618	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.5172413793103449	0.5777777777777777	0.5680329365079366	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.5086206896551724	0.5777777777777777	0.568559126984127	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.5086206896551724	0.5888888888888889	0.5690843253968254	roc
