dataset	alg	predictor	rep	fold	auroc	sensitivity	specificity	selection	included_in_training	primary_model
hum-kegg	rf	primary_prob	Repeat10	Fold2	0.6127450980392157	0.5686274509803921	0.5625	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat10	Fold3	0.5806686046511628	0.6976744186046512	0.3875	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat10	Fold4	0.49475576865448007	0.7021276595744681	0.323943661971831	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat10	Fold5	0.575639097744361	0.8842105263157894	0.14285714285714285	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat11	Fold1	0.5451964739279844	0.8762886597938144	0.17391304347826086	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat11	Fold2	0.5937727338862214	0.896551724137931	0.13924050632911392	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat11	Fold3	0.5847694800412432	0.7204301075268817	0.3972602739726027	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat11	Fold4	0.592542270531401	0.84375	0.2898550724637681	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat11	Fold5	0.5245112781954887	0.7263157894736842	0.34285714285714286	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat12	Fold1	0.5196641626159965	0.6989247311827957	0.3835616438356164	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat12	Fold2	0.6267857142857143	0.90625	0.2571428571428571	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat12	Fold3	0.5162280701754386	0.7	0.3157894736842105	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat12	Fold4	0.5621980676328503	0.8229166666666666	0.2463768115942029	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat12	Fold5	0.6254480286738351	0.7096774193548387	0.4722222222222222	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat13	Fold1	0.5598386373823397	0.9072164948453608	0.2028985507246377	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat13	Fold2	0.6187545787545787	0.46153846153846156	0.6666666666666666	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat13	Fold3	0.4865826538176427	0.9157894736842105	0.08450704225352113	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat13	Fold4	0.5737801293356849	0.8928571428571429	0.16049382716049382	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat13	Fold5	0.557394801980198	0.7326732673267327	0.296875	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat14	Fold1	0.5274261603375527	0.8045977011494253	0.21518987341772153	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat14	Fold2	0.6724441833137486	0.75	0.4864864864864865	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat14	Fold3	0.5472727272727272	0.85	0.25757575757575757	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat14	Fold4	0.5455917874396136	0.7291666666666666	0.3333333333333333	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat14	Fold5	0.5683990442054958	0.9139784946236559	0.1388888888888889	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat15	Fold1	0.6173614223815928	0.7010309278350515	0.5072463768115942	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat15	Fold2	0.5040770941438102	0.7684210526315789	0.15492957746478872	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat15	Fold3	0.5841802916482545	0.7849462365591398	0.2602739726027397	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat15	Fold4	0.5677941176470588	0.8352941176470589	0.2375	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat15	Fold5	0.6561072190070057	0.8163265306122449	0.417910447761194	all	all	rf_hum-kegg
