Model	Resid. df	Resid. Dev	Test	   Df	LR stat.	Pr(Chi)	var_id	model_complexity
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2748	2230.8639376452593	1 vs 2	6	2.774402936367096	0.8365821423494867	symptoms_overall_cat	standard_model
senter + age_invitation + kjonn	3090	2531.6954637681574		NA	NA	NA	symtomduration_annet_se_fritekst_cat	host_assoc_model
value + senter + age_invitation + kjonn	3087	2529.8609271380005	1 vs 2	3	1.8345366301568902	0.6074483711955683	symtomduration_annet_se_fritekst_cat	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816264		NA	NA	NA	symtomduration_annet_se_fritekst_cat	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2751	2232.7913205247282	1 vs 2	3	0.8470200568981454	0.838190497957921	symtomduration_annet_se_fritekst_cat	standard_model
senter + age_invitation + kjonn	3090	2531.6954637681574		NA	NA	NA	symtomduration_diare_cat	host_assoc_model
value + senter + age_invitation + kjonn	3087	2522.5027186660154	1 vs 2	3	9.192745102141998	0.026835022004828013	symtomduration_diare_cat	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816264		NA	NA	NA	symtomduration_diare_cat	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2751	2226.521948048838	1 vs 2	3	7.116392532788268	0.06827903655951573	symtomduration_diare_cat	standard_model
senter + age_invitation + kjonn	3090	2531.6954637681574		NA	NA	NA	symtomduration_endrede_avforingsvaner_cat	host_assoc_model
value + senter + age_invitation + kjonn	3087	2531.064357187715	1 vs 2	3	0.6311065804425198	0.8892757515529496	symtomduration_endrede_avforingsvaner_cat	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816264		NA	NA	NA	symtomduration_endrede_avforingsvaner_cat	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2751	2233.3606864657554	1 vs 2	3	0.27765411587097333	0.9641748505006174	symtomduration_endrede_avforingsvaner_cat	standard_model
senter + age_invitation + kjonn	3090	2531.6954637681574		NA	NA	NA	symtomduration_luftplager_cat	host_assoc_model
value + senter + age_invitation + kjonn	3087	2529.7341239496177	1 vs 2	3	1.9613398185397273	0.5804694176416063	symtomduration_luftplager_cat	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816264		NA	NA	NA	symtomduration_luftplager_cat	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2751	2231.8528361310905	1 vs 2	3	1.785504450535882	0.6180943988140741	symtomduration_luftplager_cat	standard_model
senter + age_invitation + kjonn	3090	2531.6954637681574		NA	NA	NA	symtomduration_obstipasjon_cat	host_assoc_model
value + senter + age_invitation + kjonn	3087	2526.5069811639905	1 vs 2	3	5.188482604166893	0.15850447912625898	symtomduration_obstipasjon_cat	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816264		NA	NA	NA	symtomduration_obstipasjon_cat	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2751	2228.728807572403	1 vs 2	3	4.909533009223196	0.17854271194060822	symtomduration_obstipasjon_cat	standard_model
senter + age_invitation + kjonn	3090	2531.6954637681574		NA	NA	NA	symtomduration_smerter_cat	host_assoc_model
value + senter + age_invitation + kjonn	3087	2523.7730344511383	1 vs 2	3	7.922429317019123	0.04764235849998877	symtomduration_smerter_cat	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816264		NA	NA	NA	symtomduration_smerter_cat	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2751	2227.4773249604727	1 vs 2	3	6.161015621153638	0.10403390980943716	symtomduration_smerter_cat	standard_model
senter + age_invitation + kjonn	3090	2531.6954637681574		NA	NA	NA	symtomduration_synlig_blod_i_avforingen_cat	host_assoc_model
value + senter + age_invitation + kjonn	3087	2531.090670784018	1 vs 2	3	0.6047929841392943	0.8953342578688595	symtomduration_synlig_blod_i_avforingen_cat	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816264		NA	NA	NA	symtomduration_synlig_blod_i_avforingen_cat	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2751	2232.6255469192943	1 vs 2	3	1.0127936623321148	0.7981563071135532	symtomduration_synlig_blod_i_avforingen_cat	standard_model
senter + age_invitation + kjonn	3090	2531.6954637681574		NA	NA	NA	symtomduration_vekslende_avforing_cat	host_assoc_model
value + senter + age_invitation + kjonn	3087	2531.180095413739	1 vs 2	3	0.5153683544185697	0.9155023088538377	symtomduration_vekslende_avforing_cat	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816264		NA	NA	NA	symtomduration_vekslende_avforing_cat	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2751	2233.1629674991887	1 vs 2	3	0.47537308243772713	0.9242675529487314	symtomduration_vekslende_avforing_cat	standard_model
senter + age_invitation + kjonn	2817	2314.827955423364		NA	NA	NA	wcrf_index_main	host_assoc_model
value + senter + age_invitation + kjonn	2811	2289.6456345674023	1 vs 2	6	25.182320855961734	3.1590488888821877e-4	wcrf_index_main	host_assoc_model
senter + age_invitation + kjonn + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2757	2245.463647250444		NA	NA	NA	wcrf_index_main	standard_model
value + senter + age_invitation + kjonn + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2751	2224.703442893556	1 vs 2	6	20.760204356888153	0.002025731120414598	wcrf_index_main	standard_model
