Model	Resid. df	Resid. Dev	Test	   Df	LR stat.	Pr(Chi)	var_id	model_complexity
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816264		NA	NA	NA	Fiber	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2748	2229.7817622911775	1 vs 2	6	3.8565782904488515	0.696077966883597	Fiber	standard_model
senter + age_invitation + kjonn	2823	2319.046254854009		NA	NA	NA	GRSAK_modified	host_assoc_model
value + senter + age_invitation + kjonn	2817	2312.800835926127	1 vs 2	6	6.2454189278819285	0.3962672644813341	GRSAK_modified	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816264		NA	NA	NA	GRSAK_modified	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2748	2229.4534843130496	1 vs 2	6	4.184856268576823	0.6516762397452701	GRSAK_modified	standard_model
senter + age_invitation + kjonn	2817	2312.2185855888147		NA	NA	NA	Høyde	host_assoc_model
value + senter + age_invitation + kjonn	2811	2301.175317466738	1 vs 2	6	11.043268122076825	0.08704834851978271	Høyde	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2751	2229.071220812794		NA	NA	NA	Høyde	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2745	2220.4899265928743	1 vs 2	6	8.581294219919528	0.198530867507423	Høyde	standard_model
senter + age_invitation + kjonn	2823	2319.046254854009		NA	NA	NA	MILK	host_assoc_model
value + senter + age_invitation + kjonn	2817	2315.356429188437	1 vs 2	6	3.6898256655722435	0.7185665539031219	MILK	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816264		NA	NA	NA	MILK	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2748	2229.757514683699	1 vs 2	6	3.8808258979274797	0.6928000338037553	MILK	standard_model
senter + age_invitation + kjonn	3033	2490.0579351149772		NA	NA	NA	Nasj_cat2	host_assoc_model
value + senter + age_invitation + kjonn	3027	2474.7201943461455	1 vs 2	6	15.337740768831736	0.017786393971431225	Nasj_cat2	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816264		NA	NA	NA	Nasj_cat2	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2748	2222.1549993851504	1 vs 2	6	11.483341196475976	0.07453856196345798	Nasj_cat2	standard_model
senter + age_invitation + kjonn	2823	2319.046254854009		NA	NA	NA	OST	host_assoc_model
value + senter + age_invitation + kjonn	2817	2307.81710899191	1 vs 2	6	11.229145862098903	0.08154737613957375	OST	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816264		NA	NA	NA	OST	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2748	2221.273698200588	1 vs 2	6	12.364642381038266	0.05431127478671394	OST	standard_model
senter + age_invitation + kjonn	3090	2531.6954637681574		NA	NA	NA	PPI_antacids_reg_quest_comb	host_assoc_model
value + senter + age_invitation + kjonn	3087	2512.874531925553	1 vs 2	3	18.820931842604296	2.9772391558036126e-4	PPI_antacids_reg_quest_comb	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816264		NA	NA	NA	PPI_antacids_reg_quest_comb	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2751	2221.717662596884	1 vs 2	3	11.92067798474227	0.007659882985829758	PPI_antacids_reg_quest_comb	standard_model
senter + age_invitation + kjonn	2823	2319.046254854009		NA	NA	NA	PROKJOT_red	host_assoc_model
value + senter + age_invitation + kjonn	2817	2308.5871771470815	1 vs 2	6	10.459077706927474	0.10660345243739267	PROKJOT_red	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816264		NA	NA	NA	PROKJOT_red	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2748	2217.9378650999365	1 vs 2	6	15.700475481689864	0.015455195534496147	PROKJOT_red	standard_model
senter + age_invitation + kjonn	3033	2490.0579351149772		NA	NA	NA	PhysAct_Score	host_assoc_model
value + senter + age_invitation + kjonn	3027	2472.2188812068885	1 vs 2	6	17.839053908088772	0.006647249946978184	PhysAct_Score	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816264		NA	NA	NA	PhysAct_Score	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2748	2224.3851924835626	1 vs 2	6	9.253148098063775	0.1598337435287297	PhysAct_Score	standard_model
senter + age_invitation + kjonn	2823	2319.046254854009		NA	NA	NA	ROKJOT_nonproc	host_assoc_model
