n_vars_requested	n_vars_actual	frac_samples	training_samples	auroc
4	4	0.7	478	0.5321894778481012
4	4	0.8	538	0.5769939393939394
4	4	0.8	537	0.5284672590303264
4	4	0.8	535	0.6067539660189618
4	4	0.8	520	0.6156649616368286
4	4	0.8	497	0.5469164330631109
4	4	0.8	548	0.5363664262697561
4	4	0.8	510	0.518719806763285
4	4	0.8	530	0.5075314801615586
4	4	0.8	534	0.5546515412153052
4	4	0.8	516	0.5773868312757202
4	4	0.8	520	0.49794028963349896
4	4	0.8	523	0.5993171942892613
4	4	0.8	511	0.5648356054530874
4	4	0.8	538	0.5117757193535672
4	4	0.8	553	0.5720780660900422
4	4	0.8	526	0.559439310745056
4	4	0.8	536	0.5968754458553288
4	4	0.8	538	0.5922058322379631
4	4	0.8	528	0.58109375
4	4	0.8	525	0.5672632038411174
4	4	0.8	523	0.60355003523608175
4	4	0.8	530	0.5073034219148161
4	4	0.8	542	0.5646511167236171
4	4	0.8	527	0.5524741340530814
4	4	0.8	527	0.6127437641723356
4	4	0.9000000000000001	604	0.5924649101206599
4	4	0.9000000000000001	591	0.5834297281665702
4	4	0.9000000000000001	597	0.5551776266061981
4	4	0.9000000000000001	596	0.5923831070889894
4	4	0.9000000000000001	572	0.5128930817610062
4	4	0.9000000000000001	604	0.5974358974358974
4	4	0.9000000000000001	583	0.5422831546083887
4	4	0.9000000000000001	593	0.5279589934762349
4	4	0.9000000000000001	600	0.5198511166253101
4	4	0.9000000000000001	592	0.5732612612612613
4	4	0.9000000000000001	581	0.6228729719034428
4	4	0.9000000000000001	595	0.6261389096340553
4	4	0.9000000000000001	590	0.5631534030296566
4	4	0.9000000000000001	585	0.5388010168055359
4	4	0.9000000000000001	615	0.48543233082706766
4	4	0.9000000000000001	594	0.6045118343195266
4	4	0.9000000000000001	604	0.6080645161290322
4	4	0.9000000000000001	604	0.5775553385416666
4	4	0.9000000000000001	597	0.5826908541194256
4	4	0.9000000000000001	605	0.5183841315916787
4	4	0.9000000000000001	587	0.5441843971631206
4	4	0.9000000000000001	590	0.5659147869674185
4	4	0.9000000000000001	602	0.5476359898798229
4	4	0.9000000000000001	596	0.497478738616693
4	4	0.9000000000000001	587	0.531934306569343
4	4	1	664	0.5819659792262531
4	4	1	660	0.5498197548666186
4	4	1	663	0.5751891551071879
4	4	1	651	0.5985495985495985
4	4	1	674	0.6035443037974684
4	4	1	651	0.5161082474226804
4	4	1	671	0.5148221343873518
4	4	1	660	0.576101568334578
4	4	1	663	0.5254814814814814
4	4	1	667	0.5710485133020344
4	4	1	659	0.555789178581441
4	4	1	666	0.5726351351351351
4	4	1	654	0.5742574257425742
4	4	1	664	0.5416413373860183
4	4	1	669	0.5796252927400468
4	4	1	659	0.5548816568047338
4	4	1	680	0.5634789017873595
4	4	1	651	0.6098436298385029
4	4	1	661	0.5742574257425743
4	4	1	661	0.5736478711162255
4	4	1	664	0.6211049224747854
4	4	1	672	0.5847076461769115
4	4	1	657	0.5530470914127423
4	4	1	650	0.5841779649861787
4	4	1	669	0.49167733674775926
8	8	0.2	146	0.5281875658587988
8	8	0.2	121	0.5573782455685117
8	8	0.2	128	0.490896504558003
8	8	0.2	130	0.5394472361809045
8	8	0.2	138	0.5674957264957265
8	8	0.2	114	0.5374136331648647
8	8	0.2	124	0.5266780987700916
8	8	0.2	130	0.5344195179011572
8	8	0.2	153	0.5302373488580385
8	8	0.2	136	0.5453518110985547
8	8	0.2	130	0.49328064559157
8	8	0.2	132	0.5605438406436063
8	8	0.2	126	0.5508741157966682
8	8	0.2	130	0.5434257036147793
8	8	0.2	128	0.5150884106042846
8	8	0.2	145	0.5008648274669203
8	8	0.2	137	0.5239869347759518
8	8	0.2	137	0.5584644022063971
8	8	0.2	120	0.5200704025435757
8	8	0.2	145	0.5487236131566029
8	8	0.2	110	0.5370672338414274
8	8	0.2	116	0.5681255855293185
8	8	0.2	136	0.508487384195022
8	8	0.2	137	0.5045579944824278
8	8	0.2	137	0.5364137872049265
8	8	0.30000000000000004	197	0.5886172109229398
8	8	0.30000000000000004	201	0.5627750995598407
8	8	0.30000000000000004	203	0.509087695219082
8	8	0.30000000000000004	215	0.5006640751538711
8	8	0.30000000000000004	210	0.5980888676540851
8	8	0.30000000000000004	200	0.5538673033789161
8	8	0.30000000000000004	204	0.5457410784058349
8	8	0.30000000000000004	210	0.5143816631130064
8	8	0.30000000000000004	214	0.5429679392648424
8	8	0.30000000000000004	205	0.5360176123202771
8	8	0.30000000000000004	215	0.5136596102803134
8	8	0.30000000000000004	186	0.515153906866614
8	8	0.30000000000000004	196	0.5507098976806942
8	8	0.30000000000000004	211	0.573115311106392
8	8	0.30000000000000004	181	0.55008293492048
8	8	0.30000000000000004	207	0.5057511860832894
8	8	0.30000000000000004	184	0.5605376766091051
8	8	0.30000000000000004	192	0.5640850722311397
8	8	0.30000000000000004	180	0.557756739909615
8	8	0.30000000000000004	202	0.5171147371147371
8	8	0.30000000000000004	204	0.5293845587848847
8	8	0.30000000000000004	213	0.5362800809333161
8	8	0.30000000000000004	218	0.5282636040470331
8	8	0.30000000000000004	193	0.5434197478396373
8	8	0.30000000000000004	212	0.5616958311888831
8	8	0.4	253	0.5269659351937833
8	8	0.4	269	0.5490483352349341
8	8	0.4	274	0.5622294372294372
8	8	0.4	261	0.5643404041671897
8	8	0.4	260	0.5641133130081301
8	8	0.4	271	0.5656218814013341
8	8	0.4	276	0.5125777730100837
8	8	0.4	270	0.5681887751706882
8	8	0.4	257	0.5049533150060678
8	8	0.4	259	0.49406661600810536
8	8	0.4	259	0.5346287804755819
8	8	0.4	249	0.5159918779227172
8	8	0.4	256	0.5392485119047619
8	8	0.4	249	0.5450637928898798
8	8	0.4	271	0.5258857929136567
8	8	0.4	258	0.5768751984757066
8	8	0.4	259	0.47843001261034046
8	8	0.4	263	0.557405617177165
8	8	0.4	252	0.55078148756309675
8	8	0.4	251	0.5265741079040311
8	8	0.4	251	0.5011526328561029
8	8	0.4	276	0.4927400499495191
8	8	0.4	268	0.5424236579877852
8	8	0.4	269	0.5730900723208415
8	8	0.4	238	0.5268006993006993
8	8	0.5	340	0.5545608890260842
8	8	0.5	317	0.5856619151011674
8	8	0.5	334	0.5233975160456781
8	8	0.5	324	0.5699645504350629
8	8	0.5	329	0.6208862821766048
8	8	0.5	313	0.5852021357742182
8	8	0.5	353	0.5479964221824687
8	8	0.5	319	0.5985082222717008
8	8	0.5	336	0.5858631475069831
8	8	0.5	348	0.554696171532268
8	8	0.5	343	0.5229244114002478
8	8	0.5	334	0.5427535634835626
8	8	0.5	328	0.56051821278826
8	8	0.5	326	0.5602139210760878
8	8	0.5	355	0.5251798561151079
8	8	0.5	339	0.519453044375645
8	8	0.5	336	0.5776509109226765
8	8	0.5	324	0.5782391946178791
8	8	0.5	317	0.5418236032642813
8	8	0.5	342	0.577087646652864
8	8	0.5	337	0.5130007736553533
8	8	0.5	347	0.5396215047666301
8	8	0.5	335	0.540757179291842
8	8	0.5	319	0.5673792259158112
8	8	0.5	310	0.5071232458816352
8	8	0.6000000000000001	396	0.5448676215277778
8	8	0.6000000000000001	392	0.5498924731182796
8	8	0.6000000000000001	382	0.5532740831545613
8	8	0.6000000000000001	389	0.5301587301587302
8	8	0.6000000000000001	400	0.6202418715305313
8	8	0.6000000000000001	398	0.5817100631818282
8	8	0.6000000000000001	421	0.5209809130263675
8	8	0.6000000000000001	371	0.5571548017200191
8	8	0.6000000000000001	411	0.5994507284829865
8	8	0.6000000000000001	413	0.5719195941781634
8	8	0.6000000000000001	408	0.5863139735480161
8	8	0.6000000000000001	402	0.5944976076555024
8	8	0.6000000000000001	377	0.5623169802238357
8	8	0.6000000000000001	396	0.5649961702593281
8	8	0.6000000000000001	415	0.5234503831603453
8	8	0.6000000000000001	403	0.4951624680540343
8	8	0.6000000000000001	406	0.5156160687747217
8	8	0.6000000000000001	389	0.5052308802308803
8	8	0.6000000000000001	390	0.5444717444717445
8	8	0.6000000000000001	415	0.5541125541125541
8	8	0.6000000000000001	400	0.5024320457796853
8	8	0.6000000000000001	415	0.5836734693877551
8	8	0.6000000000000001	402	0.5909716060337178
8	8	0.6000000000000001	385	0.5652173913043478
8	8	0.6000000000000001	386	0.5193711630993861
8	8	0.7	461	0.5305774038168405
8	8	0.7	470	0.527633878913078
8	8	0.7	468	0.5380970195785011
8	8	0.7	438	0.5429853440951572
8	8	0.7	486	0.576712232491127
8	8	0.7	468	0.6068429627772904
8	8	0.7	460	0.5548306833353562
8	8	0.7	472	0.4745535714285714
8	8	0.7	472	0.5632591740186677
8	8	0.7	450	0.5446711371094307
8	8	0.7	441	0.553704705246079
8	8	0.7	463	0.6154982458299993
8	8	0.7	478	0.5859914938862307
8	8	0.7	455	0.5222417840375587
8	8	0.7	486	0.5695962329128158
8	8	0.7	467	0.5259627329192547
8	8	0.7	453	0.576318609358257
8	8	0.7	484	0.5346473668001231
8	8	0.7	458	0.5536379623833796
8	8	0.7	484	0.5764011188231638
8	8	0.7	454	0.5568111773166221
8	8	0.7	468	0.5703287890938252
8	8	0.7	482	0.579689608636977
8	8	0.7	460	0.6129564617277282
8	8	0.7	456	0.55
8	8	0.8	539	0.5750733137829912
8	8	0.8	539	0.5933040078201368
8	8	0.8	555	0.5070616793556217
8	8	0.8	510	0.5598991677336748
8	8	0.8	531	0.4919065575278212
8	8	0.8	517	0.6217374937259494
8	8	0.8	533	0.5702268079568693
8	8	0.8	526	0.5877425044091711
8	8	0.8	520	0.528150826446281
8	8	0.8	500	0.6030460767302872
8	8	0.8	524	0.5975016436554899
8	8	0.8	542	0.5187401107594937
8	8	0.8	539	0.5473607038123167
8	8	0.8	521	0.5367835757057314
8	8	0.8	527	0.6425086781123933
8	8	0.8	523	0.5503775058578495
8	8	0.8	535	0.5221155655938264
8	8	0.8	523	0.587515299877601
8	8	0.8	532	0.5050662878787878
8	8	0.8	538	0.5328166858017604
8	8	0.8	523	0.5832452431289641
8	8	0.8	526	0.5764260249554367
8	8	0.8	523	0.5644
8	8	0.8	522	0.5631758066600612
8	8	0.8	544	0.5885714285714286
8	8	0.9000000000000001	592	0.5828869047619047
8	8	0.9000000000000001	601	0.5169082125603864
8	8	0.9000000000000001	611	0.551789077212806
8	8	0.9000000000000001	599	0.6155384615384616
8	8	0.9000000000000001	597	0.5702479338842975
8	8	0.9000000000000001	600	0.5806094182825484
8	8	0.9000000000000001	585	0.5708493677844969
8	8	0.9000000000000001	591	0.5556192660550459
8	8	0.9000000000000001	606	0.6218998015873016
8	8	0.9000000000000001	594	0.5944627851140456
8	8	0.9000000000000001	595	0.6310291858678956
8	8	0.9000000000000001	606	0.5111928104575163
8	8	0.9000000000000001	598	0.5786138923654568
8	8	0.9000000000000001	579	0.6126102408845596
8	8	0.9000000000000001	589	0.5117894736842106
8	8	0.9000000000000001	606	0.5466898954703833
8	8	0.9000000000000001	605	0.5132874015748031
8	8	0.9000000000000001	586	0.6342630853994491
8	8	0.9000000000000001	582	0.6407952069716776
8	8	0.9000000000000001	589	0.5439677145284622
8	8	0.9000000000000001	602	0.5234079445145019
8	8	0.9000000000000001	591	0.596975480839818
8	8	0.9000000000000001	594	0.5949120838009727
8	8	0.9000000000000001	578	0.5923317683881064
8	8	0.9000000000000001	609	0.538629126864421
8	8	1	654	0.5564864864864865
8	8	1	660	0.5066135684824349
8	8	1	665	0.5221350078492936
8	8	1	667	0.5853051058530511
8	8	1	666	0.5647498831229547
8	8	1	669	0.554834523036989
8	8	1	664	0.5219657483246463
8	8	1	667	0.59294265910523
8	8	1	655	0.499860646599777
8	8	1	657	0.5623268698060941
8	8	1	669	0.5974711907810499
8	8	1	653	0.5741333333333334
8	8	1	658	0.5454931972789115
8	8	1	661	0.6354978354978355
8	8	1	671	0.562876254180602
8	8	1	674	0.579343365253078
8	8	1	654	0.5433006535947712
8	8	1	653	0.5813676119798569
8	8	1	669	0.593015873015873
8	8	1	662	0.6304021608643458
8	8	1	661	0.5448092280390417
8	8	1	667	0.5863422291993721
8	8	1	676	0.5627362055933485
8	8	1	657	0.5789978094194962
8	8	1	651	0.5731077241022992
16	16	0.2	141	0.5053919035314384
16	16	0.2	140	0.4939671814671815
16	16	0.2	153	0.572979901376106
16	16	0.2	126	0.5703737886479003
16	16	0.2	119	0.5516067869123438
16	16	0.2	143	0.5563989439310776
16	16	0.2	127	0.5084277608612456
16	16	0.2	143	0.5223165915207437
16	16	0.2	117	0.5518699160904235
16	16	0.2	120	0.5291127844164347
16	16	0.2	136	0.5301275510204082
16	16	0.2	129	0.5300098832437141
16	16	0.2	139	0.507758031442242
16	16	0.2	123	0.5353724236782708
16	16	0.2	129	0.5355596576606814
16	16	0.2	134	0.5259699730094467
16	16	0.2	127	0.49314464466962843
16	16	0.2	134	0.5605702107665459
16	16	0.2	120	0.5469607011591744
16	16	0.2	133	0.5309741937648914
16	16	0.2	119	0.5506007021612395
16	16	0.2	134	0.5590639930018169
16	16	0.2	137	0.5112446585743714
16	16	0.2	133	0.5398898305084746
16	16	0.2	112	0.5511875511875511
16	16	0.30000000000000004	229	0.5750738133091075
16	16	0.30000000000000004	183	0.5765896805896806
16	16	0.30000000000000004	193	0.5128697656550134
16	16	0.30000000000000004	209	0.522003745318352
16	16	0.30000000000000004	202	0.5698425556663343
16	16	0.30000000000000004	200	0.5749774811660662
16	16	0.30000000000000004	220	0.5175921075606775
16	16	0.30000000000000004	192	0.4852924648786718
16	16	0.30000000000000004	207	0.5378694064310301
16	16	0.30000000000000004	199	0.5128213049925853
16	16	0.30000000000000004	207	0.5703362622507604
16	16	0.30000000000000004	217	0.5476190476190477
16	16	0.30000000000000004	205	0.5530691612360732
16	16	0.30000000000000004	203	0.5178937246540407
16	16	0.30000000000000004	205	0.5280805662319115
16	16	0.30000000000000004	191	0.5832073074829109
16	16	0.30000000000000004	195	0.5398520620123619
16	16	0.30000000000000004	199	0.5428374116143396
16	16	0.30000000000000004	185	0.5288010058741479
16	16	0.30000000000000004	206	0.535007131470761
16	16	0.30000000000000004	206	0.550552599263201
16	16	0.30000000000000004	217	0.5524190027071871
16	16	0.30000000000000004	194	0.5641980917764653
16	16	0.30000000000000004	204	0.5103023983315954
16	16	0.30000000000000004	192	0.5662721117266571
16	16	0.4	264	0.5745605095541402
16	16	0.4	266	0.6105275323607973
16	16	0.4	286	0.5450454192976626
16	16	0.4	277	0.5411056083522956
16	16	0.4	258	0.5742607864829529
16	16	0.4	236	0.5689451769604441
16	16	0.4	275	0.5029794863681907
16	16	0.4	270	0.5030825817767713
16	16	0.4	282	0.5652867125110914
16	16	0.4	261	0.5278094369728744
16	16	0.4	247	0.5487661574618097
16	16	0.4	275	0.5972786406478162
16	16	0.4	259	0.5525040589484201
16	16	0.4	249	0.5712182061579651
16	16	0.4	266	0.54074592800083
16	16	0.4	264	0.548487209287475
16	16	0.4	280	0.5651512089984508
16	16	0.4	264	0.5601746369155964
16	16	0.4	271	0.5552148043301617
16	16	0.4	255	0.47736436037829766
16	16	0.4	265	0.5423225308641976
16	16	0.4	273	0.5654743062150469
16	16	0.4	258	0.5211554160125589
16	16	0.4	247	0.5969553579963675
16	16	0.4	282	0.5676775147928994
16	16	0.5	336	0.5646129004844056
16	16	0.5	338	0.5495137420718816
16	16	0.5	324	0.5797260363648266
16	16	0.5	329	0.5681506849315069
16	16	0.5	342	0.5684794672586015
16	16	0.5	349	0.5597324723247232
16	16	0.5	336	0.601242256766459
16	16	0.5	340	0.5677841937429975
16	16	0.5	331	0.5354870288790994
16	16	0.5	313	0.5728667305848514
16	16	0.5	333	0.53429343835525
16	16	0.5	302	0.5636083153606518
16	16	0.5	321	0.5833739797743309
16	16	0.5	318	0.5982809927820691
16	16	0.5	333	0.5652688936271025
16	16	0.5	352	0.5784436802940159
16	16	0.5	336	0.5821596244131455
16	16	0.5	339	0.546709812957441
16	16	0.5	348	0.5814218574635241
16	16	0.5	321	0.5977186910006294
16	16	0.5	334	0.5617596444622659
16	16	0.5	334	0.5777836929577933
16	16	0.5	347	0.59688995215311
16	16	0.5	326	0.5890284417794344
16	16	0.5	313	0.5826849733028223
16	16	0.6000000000000001	401	0.5934618794326241
16	16	0.6000000000000001	393	0.5758487787978521
16	16	0.6000000000000001	398	0.5705821910321156
16	16	0.6000000000000001	402	0.5841006615412122
16	16	0.6000000000000001	390	0.521720467032967
16	16	0.6000000000000001	397	0.5912644682245032
16	16	0.6000000000000001	398	0.5528641571194762
16	16	0.6000000000000001	376	0.5760440823769598
16	16	0.6000000000000001	406	0.5911244760342628
16	16	0.6000000000000001	419	0.6075568598679384
16	16	0.6000000000000001	411	0.5719218580010407
16	16	0.6000000000000001	381	0.5960814790575917
16	16	0.6000000000000001	389	0.5835681352459017
16	16	0.6000000000000001	401	0.5804318488529014
16	16	0.6000000000000001	410	0.5454988851727982
16	16	0.6000000000000001	402	0.5353718637992831
16	16	0.6000000000000001	402	0.5671638387155629
16	16	0.6000000000000001	389	0.5225331369661267
16	16	0.6000000000000001	403	0.5681479474325972
16	16	0.6000000000000001	400	0.5857961966748577
16	16	0.6000000000000001	424	0.5201828063241106
16	16	0.6000000000000001	383	0.6135162601626016
16	16	0.6000000000000001	405	0.5365494425813468
16	16	0.6000000000000001	410	0.5773791063291743
16	16	0.6000000000000001	402	0.5293670659753263
16	16	0.7	466	0.5447405329593268
16	16	0.7	469	0.5775142731664471
16	16	0.7	467	0.5511563599798894
16	16	0.7	469	0.5753295074730403
16	16	0.7	448	0.5762783970050199
16	16	0.7	472	0.5149227584010193
16	16	0.7	443	0.57534435261708
16	16	0.7	457	0.5532347836495302
16	16	0.7	461	0.5494085532302093
16	16	0.7	465	0.582566510172144
16	16	0.7	459	0.5881576579278901
16	16	0.7	454	0.5944508009153318
16	16	0.7	452	0.5629835060575099
16	16	0.7	460	0.5646221903395504
16	16	0.7	480	0.578088336783989
16	16	0.7	483	0.5209257868505496
16	16	0.7	473	0.5654199517821072
16	16	0.7	446	0.5509270807350128
16	16	0.7	466	0.5698396193717112
16	16	0.7	473	0.5994051045864517
16	16	0.7	477	0.5545652604476133
16	16	0.7	485	0.547690728703387
16	16	0.7	475	0.5578114700065919
16	16	0.7	469	0.5402593295382669
16	16	0.7	468	0.5983076000126298
16	16	0.8	522	0.5891910830815048
16	16	0.8	520	0.564390665514261
16	16	0.8	553	0.537741935483871
16	16	0.8	535	0.5828272446977483
16	16	0.8	546	0.5776223776223777
16	16	0.8	530	0.5373768501657562
16	16	0.8	554	0.5874118343832445
16	16	0.8	534	0.5777307963354474
16	16	0.8	529	0.6186394803320101
16	16	0.8	544	0.5520244461420932
16	16	0.8	514	0.588078547124175
16	16	0.8	528	0.5152457142857143
16	16	0.8	530	0.577659767610748
16	16	0.8	530	0.4910457963089542
16	16	0.8	525	0.5970671628566365
16	16	0.8	527	0.5462038648227859
16	16	0.8	538	0.5833532876777932
16	16	0.8	544	0.5518619712608783
16	16	0.8	541	0.5425416543428966
16	16	0.8	537	0.5977135040062537
16	16	0.8	510	0.5691920830629461
16	16	0.8	520	0.5859982713915298
16	16	0.8	540	0.5852692326502665
16	16	0.8	517	0.5747675295300326
16	16	0.8	531	0.5958655156746934
16	16	0.9000000000000001	593	0.6336958140920602
16	16	0.9000000000000001	595	0.6028192371475953
16	16	0.9000000000000001	605	0.5987593052109181
16	16	0.9000000000000001	575	0.5097902097902098
16	16	0.9000000000000001	590	0.6148356401384083
16	16	0.9000000000000001	590	0.5587198849334771
16	16	0.9000000000000001	587	0.5477272727272727
16	16	0.9000000000000001	584	0.5622778233524747
16	16	0.9000000000000001	594	0.5279425767230645
16	16	0.9000000000000001	599	0.5917665867306156
16	16	0.9000000000000001	594	0.5408322787165935
16	16	0.9000000000000001	601	0.5459599123081741
16	16	0.9000000000000001	605	0.5396981627296588
16	16	0.9000000000000001	603	0.5428079383303264
16	16	0.9000000000000001	579	0.6068152031454784
16	16	0.9000000000000001	583	0.5999013667746935
16	16	0.9000000000000001	601	0.6162734713529129
16	16	0.9000000000000001	607	0.5872026251025431
16	16	0.9000000000000001	598	0.5817023562821398
16	16	0.9000000000000001	593	0.5561649846423871
16	16	0.9000000000000001	587	0.540519877675841
16	16	0.9000000000000001	603	0.5363680941484145
16	16	0.9000000000000001	583	0.5128169406519922
16	16	0.9000000000000001	605	0.4876373626373626
16	16	0.9000000000000001	600	0.552578125
16	16	1	665	0.5235934664246824
16	16	1	654	0.5550531914893617
16	16	1	667	0.5966160657811512
16	16	1	668	0.665920716112532
16	16	1	658	0.5694925028835064
16	16	1	664	0.6205570087705801
16	16	1	662	0.6254175744371823
16	16	1	666	0.565081351689612
16	16	1	654	0.5319120586275816
16	16	1	666	0.5582870737509913
16	16	1	667	0.5766852195423624
16	16	1	667	0.5794998456313677
16	16	1	645	0.5731465410364494
16	16	1	672	0.5824255628177196
16	16	1	661	0.5426547137073453
16	16	1	677	0.6145833333333334
16	16	1	668	0.5758730158730159
16	16	1	668	0.580080971659919
16	16	1	654	0.5089189189189189
16	16	1	645	0.5487308429118773
16	16	1	664	0.5965470240799636
16	16	1	671	0.5186983099604459
16	16	1	658	0.6194432904029913
16	16	1	655	0.5125418060200669
16	16	1	664	0.5882352941176471
32	32	0.2	138	0.5530398716460708
32	32	0.2	137	0.5175947837041829
32	32	0.2	137	0.5311947504419965
32	32	0.2	141	0.5683231414044249
32	32	0.2	120	0.572664430129887
32	32	0.2	114	0.5146437522377372
32	32	0.2	150	0.5072569322569322
32	32	0.2	140	0.5770062087197637
32	32	0.2	131	0.49012962806066257
32	32	0.2	131	0.5125880237306936
