feature	metadata	value	coef	stderr	pval	name	qval	N	N.not.zero	model	dataset	strat	outcome
SGB15267	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	-0.07101352940504757	0.10714895829918471	0.5076540762673758	sum_lesion_diameter_proximal	0.8086626329426241	1034	276	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB15124	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	-0.07930826522225297	0.12035763619409515	0.510100944766833	sum_lesion_diameter_proximal	0.8104586619329012	1034	605	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB14853	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	0.09270808345597564	0.14143691214177168	0.5123278189457503	sum_lesion_diameter_proximal	0.810825482945451	1034	711	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB3964	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	-0.10437670645286555	0.1591319973504164	0.5120449748455236	sum_lesion_diameter_proximal	0.810825482945451	1034	503	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB4651	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	-0.05029992384559351	0.07669375148963381	0.5120825941280336	sum_lesion_diameter_proximal	0.810825482945451	1034	127	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB98319	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	0.04697959156554127	0.07178565650458726	0.5129909777170343	sum_lesion_diameter_proximal	0.8110725782615205	1034	129	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB9283	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	0.1124392045587674	0.17249117957753324	0.5146583611125751	sum_lesion_diameter_proximal	0.8127924716770334	1034	439	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB4422	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	-0.08999322703226063	0.13873497917649946	0.5167142457702377	sum_lesion_diameter_proximal	0.8139256704631818	1034	172	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB63333	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	0.062627937252165	0.09711101368429058	0.5191465019532291	sum_lesion_diameter_proximal	0.8156368375131844	1034	189	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB2295	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	0.1140680493890529	0.17695150663769696	0.5193291210107105	sum_lesion_diameter_proximal	0.8157726833280629	1034	774	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB6744	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	0.09174865351751826	0.14259648145578208	0.5201161752830694	sum_lesion_diameter_proximal	0.8162533538848614	1034	214	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB15332	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	-0.08869607259439694	0.13803182855775104	0.5206594345976121	sum_lesion_diameter_proximal	0.8163472139408494	1034	554	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB14969	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	-0.08045499465720257	0.12516553652249515	0.5205220639414316	sum_lesion_diameter_proximal	0.8163472139408494	1034	369	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB15216	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	0.09734382328879276	0.15246109140426195	0.523318878765273	sum_lesion_diameter_proximal	0.8173146341603076	1034	788	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB4652	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	0.10872713479873085	0.1701541851520486	0.5229879905491088	sum_lesion_diameter_proximal	0.8173146341603076	1034	537	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB4728	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	0.06218037674663232	0.09740796869158438	0.5234054296658206	sum_lesion_diameter_proximal	0.8173146341603076	1034	153	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB5075	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	0.12295104264347954	0.192646724396563	0.5234898305076746	sum_lesion_diameter_proximal	0.8173146341603076	1034	519	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB14809	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	-0.10221073367661761	0.16029206866879828	0.5238588792187231	sum_lesion_diameter_proximal	0.8175899064186252	1034	552	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB6473	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	-0.08101610392753046	0.12816349382192135	0.5274590881971597	sum_lesion_diameter_proximal	0.8188015356352005	1034	157	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB53517	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	0.07780380519760699	0.12353981816343838	0.5289908276994892	sum_lesion_diameter_proximal	0.8188015356352005	1034	449	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
